236168,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236167,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236164,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236162,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236161,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236160,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236159,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236157,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236154,2,0,Up or Down (5 Suits),kjin,qwertyelmer
236152,2,0,Up or Down (5 Suits),kjin,qwertyelmer
